iter	Passed	Remaining
0	108	32422
1	110	16443
2	112	11112
3	114	8444
4	115	6842
5	117	5772
6	119	5011
7	122	4454
8	124	4012
9	125	3653
10	127	3359
11	129	3114
12	131	2905
13	133	2728
14	135	2581
15	138	2457
16	140	2338
17	142	2231
18	144	2134
19	146	2046
20	148	1966
21	150	1902
22	152	1836
23	155	1783
24	157	1727
25	158	1675
26	161	1628
27	163	1584
28	165	1543
29	166	1502
30	169	1468
31	171	1435
32	173	1402
33	175	1370
34	177	1340
35	179	1312
36	180	1285
37	182	1259
38	184	1236
39	187	1215
40	188	1193
41	190	1171
42	192	1151
43	194	1132
44	196	1113
45	198	1095
46	200	1077
47	202	1064
48	204	1047
49	206	1031
50	208	1016
51	210	1003
52	212	990
53	214	976
54	216	964
55	218	953
56	220	941
57	222	929
58	224	917
59	226	906
60	228	894
61	230	883
62	232	874
63	234	866
64	236	856
65	238	846
66	240	837
67	242	828
68	244	819
69	246	810
70	249	803
71	250	794
72	252	785
73	254	777
74	256	769
75	258	761
76	261	756
77	263	749
78	265	743
79	267	736
80	269	728
81	271	721
82	273	714
83	275	707
84	277	700
85	279	694
86	281	689
87	283	682
88	285	676
89	286	669
90	288	663
91	290	656
92	292	650
93	294	645
94	296	640
95	298	635
96	300	629
97	302	623
98	304	618
99	306	612
100	308	606
101	309	601
102	312	597
103	314	592
104	316	587
105	318	582
106	319	577
107	322	572
108	324	568
109	326	563
110	328	558
111	329	553
112	331	549
113	333	544
114	335	540
115	338	536
116	340	531
117	342	527
118	344	523
119	346	519
120	348	515
121	350	511
122	352	507
123	354	503
124	356	498
125	358	494
126	360	491
127	362	487
128	364	483
129	367	479
130	369	476
131	371	472
132	373	468
133	375	465
134	377	461
135	379	457
136	381	454
137	383	450
138	385	446
139	387	443
140	389	439
141	392	437
142	395	433
143	397	430
144	399	426
145	401	423
146	403	419
147	404	415
148	407	412
149	409	409
150	411	405
151	413	402
152	415	398
153	417	395
154	419	392
155	421	389
156	425	387
157	427	384
158	429	380
159	431	377
160	433	374
161	435	370
162	437	367
163	440	365
164	442	361
165	444	358
166	447	356
167	449	352
168	450	349
169	452	346
170	454	343
171	456	339
172	458	336
173	460	333
174	462	330
175	464	327
176	465	323
177	467	320
178	470	317
179	472	315
180	474	311
181	476	308
182	478	305
183	480	302
184	482	299
185	483	296
186	486	293
187	488	291
188	490	287
189	492	284
190	494	281
191	495	278
192	497	275
193	499	273
194	503	270
195	505	268
196	507	265
197	509	262
198	510	259
199	512	256
200	514	253
201	516	250
202	519	248
203	521	245
204	523	242
205	525	239
206	527	236
207	529	234
208	531	231
209	534	228
210	536	226
211	538	223
212	540	220
213	541	217
214	543	214
215	545	212
216	547	209
217	549	206
218	551	204
219	553	201
220	555	198
221	557	195
222	559	193
223	561	190
224	563	187
225	565	185
226	567	182
227	569	179
228	571	177
229	573	174
230	575	171
231	576	169
232	578	166
233	580	163
234	583	161
235	584	158
236	586	155
237	588	153
238	591	150
239	592	148
240	594	145
241	596	142
242	599	140
243	600	137
244	602	135
245	604	132
246	606	130
247	608	127
248	610	125
249	612	122
250	615	120
251	617	117
252	619	115
253	621	112
254	623	109
255	624	107
256	626	104
257	628	102
258	630	99
259	632	97
260	634	94
261	636	92
262	638	89
263	640	87
264	641	84
265	643	82
266	646	79
267	648	77
268	649	74
269	651	72
270	653	69
271	655	67
272	657	64
273	659	62
274	661	60
275	664	57
276	666	55
277	668	52
278	670	50
279	673	48
280	675	45
281	696	44
282	698	41
283	700	39
284	703	37
285	705	34
286	710	32
287	715	29
288	718	27
289	720	24
290	722	22
291	727	19
292	730	17
293	732	14
294	734	12
295	736	9
296	738	7
297	739	4
298	742	2
299	744	0
